,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,th_ts_2_rel,th_d_ts_2_rel
825,8.24,0.0,0.0,0.0,0.0,0.13029739843067475,0.5118843560369037,-0.2124501831074186,0.5763534937899024,-1.5507087080080757,-1.5959173838082077,-0.04520867580013199,0.38158695760622896
826,8.25,0.0,0.0,0.0,0.0,0.12816986547451661,0.5174366852045297,-0.21300639271598135,0.533948349614894,-1.5494163670484156,-1.5907704252587136,-0.04135405821029802,0.3892668197300131
827,8.26,0.0,0.0,0.0,0.0,0.12603825667689234,0.5225601279439869,-0.21326681402682376,0.4905848222411189,-1.5481453242621035,-1.5855700798643013,-0.037424755602197816,0.39652187126709454
828,8.27,0.0,0.0,0.0,0.0,0.12390548492113228,0.5272453622737794,-0.21324055756453758,0.44631561848799123,-1.5468956057672285,-1.5803206835383332,-0.033425077771104705,0.4033398773526471
829,8.28,0.0,0.0,0.0,0.0,0.121774368706265,0.5314836032410739,-0.21293738563843448,0.40119542273469383,-1.5456672090195371,-1.5750266627453196,-0.029359453725782414,0.4097092345348089
830,8.290000000000001,0.0,0.0,0.0,0.0,0.11964762575636236,0.5352666222448436,-0.21236768626743194,0.3552808047957867,-1.544460103788447,-1.5696925290332489,-0.025232425244801963,0.4156189964884812
831,8.3,0.0,0.0,0.0,0.0,0.11752786690961761,0.5385867653890272,-0.2115424433220521,0.3086301180795837,-1.5432742331956002,-1.5643228733774581,-0.021048640181857925,0.4210588984794096
832,8.31,0.0,0.0,0.0,0.0,0.11541759032451232,0.5414369707696358,-0.21047320298444855,0.26130338826692745,-1.5421095148129698,-1.558922360346215,-0.016812845533245243,0.4260193804451235
833,8.32,0.0,0.0,0.0,0.0,0.1133191760392103,0.5438107846026513,-0.20917203667151502,0.21336219285947874,-1.5409658418171697,-1.5534957220991576,-0.012529880281987982,0.43049160856344104
834,8.33,0.0,0.0,0.0,0.0,0.11123488091863473,0.5457023761036286,-0.207651500609852,0.1648695320573161,-1.5398430841962587,-1.5480477522306202,-0.008204668034361482,0.43446749518499383
835,8.34,0.0,0.0,0.0,0.0,0.10916683402159082,0.5471065510350434,-0.20592459229372678,0.11588969153416386,-1.5387410900050007,-1.542583299470757,-0.003842209465756197,0.4379397170134525
836,8.35,0.0,0.0,0.0,0.0,0.10711703241777812,0.5480187638436408,-0.2040047040976906,0.06648809778283116,-1.537659686664227,-1.537107261258181,0.0005524254060458311,0.44090173142586264
837,8.36,0.0,0.0,0.0,0.0,0.10508733748162903,0.5484351283172623,-0.20190557435329323,0.016731166801481474,-1.5365986822996651,-1.5316245771985775,0.004974105101087644,0.44334779083563325
838,8.370000000000001,0.0,0.0,0.0,0.0,0.10307947168663985,0.5483524266987891,-0.1996412362337905,-0.03331385301852732,-1.535557867115347,-1.5261402224244112,0.009417644690935756,0.4452729550121493
